#species	count
species:ncbi:10117	1578
species:ncbi:8032	1576
species:ncbi:34256	1574
species:ncbi:5067	1573
species:ncbi:7111	1572
species:ncbi:28037	1571
species:ncbi:8081	1570
species:ncbi:7757	1568
species:ncbi:6280	1568
species:ncbi:31033	1568
species:ncbi:13146	1563
species:ncbi:47715	1561
species:ncbi:1656	1560
species:ncbi:6319	1560
species:ncbi:7245	1558
species:ncbi:216816	1556
species:ncbi:4903	1556
species:ncbi:7004	1549
species:ncbi:1302	1541
species:ncbi:11660	1539
species:ncbi:117187	1534
species:ncbi:51655	1533
species:ncbi:29159	1532
species:ncbi:235354	1530
species:ncbi:163112	1520
species:ncbi:3712	1515
species:ncbi:1781	1512
species:ncbi:35246	1511
species:ncbi:11216	1511
species:ncbi:4043	1507
species:ncbi:5697	1506
species:ncbi:13249	1505
species:ncbi:945	1503
species:ncbi:12264	1503
species:ncbi:12618	1502
species:ncbi:162145	1502
species:ncbi:881	1492
species:ncbi:4498	1490
species:ncbi:8128	1484
species:ncbi:45617	1484
species:ncbi:169388	1484
species:ncbi:7070	1484
species:ncbi:114277	1483
species:ncbi:82078	1475
species:ncbi:30538	1468
species:ncbi:11768	1463
species:ncbi:7113	1462
species:ncbi:12321	1459
species:ncbi:3435	1458
species:ncbi:5858	1457
species:ncbi:6500	1457
species:ncbi:9720	1453
species:ncbi:12968	1441
species:ncbi:37108	1438
species:ncbi:8932	1434
species:ncbi:4787	1434
species:ncbi:260674	1434
species:ncbi:40559	1430
species:ncbi:542	1426
species:ncbi:781	1424
species:ncbi:65561	1422
species:ncbi:29780	1418
species:ncbi:11657	1414
species:ncbi:556	1411
species:ncbi:57577	1411
species:ncbi:663	1408
species:ncbi:5850	1407
species:ncbi:2246	1406
species:ncbi:1304	1398
species:ncbi:145262	1398
species:ncbi:9491	1393
species:ncbi:29519	1391
species:ncbi:4058	1387
species:ncbi:10796	1380
species:ncbi:9627	1376
species:ncbi:784	1375
species:ncbi:2234	1375
species:ncbi:316	1375
species:ncbi:39367	1372
species:ncbi:10677	1372
species:ncbi:539	1369
species:ncbi:70863	1368
species:ncbi:6421	1365
species:ncbi:11983	1363
species:ncbi:1488	1362
species:ncbi:176652	1361
species:ncbi:5315	1361
species:ncbi:6184	1359
species:ncbi:7010	1358
species:ncbi:6313	1356
species:ncbi:2371	1355
species:ncbi:11207	1355
species:ncbi:10831	1351
species:ncbi:289672	1348
species:ncbi:271	1346
species:ncbi:155892	1343
species:ncbi:9597	1343
species:ncbi:29158	1341
species:ncbi:5341	1341
species:ncbi:9691	1341
species:ncbi:28141	1334
species:ncbi:305	1330
species:ncbi:4111	1330
species:ncbi:226208	1328
species:ncbi:5530	1327
species:ncbi:11599	1318
species:ncbi:10870	1315
species:ncbi:5874	1313
species:ncbi:729	1313
species:ncbi:5825	1313
species:ncbi:28451	1310
