species:ncbi:53354	streptococcus gallolyticus subsp. gallolyticus|Streptococcus gallolyticus subsp. gallolyticus Schlegel et al. 2003|s.gallolyticus subsp. gallolyticus|S.gallolyticus subsp. gallolyticus|s. gallolyticus subsp. gallolyticus|streptococcus gallolyticus subsp. gallolyticus Osawa et al. 1996|S. gallolyticus subsp. gallolyticus|Streptococcus gallolyticus subsp. gallolyticus Osawa et al. 1996|streptococcus gallolyticus subsp. gallolyticus Schlegel et al. 2003|Streptococcus gallolyticus subsp. gallolyticus
species:ncbi:53326	A.ceylanicum|a. ceylanicum|A. ceylanicum|a.ceylanicum|Ancylostoma ceylanicum|ancylostoma ceylanicum
species:ncbi:53327	ancylostoma tubaeforme|A.tubaeforme|a.tubaeforme|a. tubaeforme|Ancylostoma tubaeforme|A. tubaeforme
species:ncbi:53323	N.granulata|C.granulatus|Neohelice granulata|c. granulatus|chasmognathus granulosus|C.granulata|C. granulata|Chasmagnathus granulata|N. granulata|neohelice granulata|Chasmognathus granulosus|C. granulatus|c.granulata|chasmagnathus granulata|c. granulata|chasmagnathus granulatus|n.granulata|c.granulatus|Chasmagnathus granulatus|n. granulata
species:ncbi:53336	tatumella citrea|pantoea citrea|Tatumella citrea|Pantoea citrea|P. citrea|P.citrea|p.citrea|p. citrea|Pantoea citrea Kageyama et al. 1992|pantoea citrea Kageyama et al. 1992
species:ncbi:53334	C. mentulatus|c. mentulatus|camelostrongylus mentulatus|C.mentulatus|Camelostrongylus mentulatus|c.mentulatus
species:ncbi:53331	t.rugatus|T. rugatus|Trichostrongylus rugatus|T.rugatus|t. rugatus|trichostrongylus rugatus
species:ncbi:637853	g. pulchrum|Gongylonema pulchrum|gongylonema pulchrum|G.pulchrum|G. pulchrum|g.pulchrum
species:ncbi:326035	eimeria vermiformis|e.vermiformis|Eimeria vermiformis|e. vermiformis|E. vermiformis|E.vermiformis
species:ncbi:326033	Eimeria pragensis|e.pragensis|E.pragensis|E. pragensis|eimeria pragensis|e. pragensis
species:ncbi:443532	Lissemys punctata punctata|l.punctata punctata|lissemys punctata punctata|L.punctata punctata|l. punctata punctata|L. punctata punctata
species:ncbi:319348	P. vanderplanki|Sleeping chironomids|sleeping chironomids|sleeping chironomid|p.vanderplanki|P.vanderplanki|Sleeping chironomid|polypedilum vanderplanki|p. vanderplanki|Polypedilum vanderplanki
species:ncbi:302911	b.lactis|b. animalis subsp. lactis|bifidobacterium lactis Meile et al. 1997|bifidobacterium animalis subsp. lactis|B. lactis|Bifidobacterium animalis subsp. lactis (Meile et al. 1997) Masco et al. 2004|bifidobacterium lactis|B.animalis subsp. lactis|Bifidobacterium lactis Meile et al. 1997|B.lactis|B. animalis subsp. lactis|bifidobacterium animalis subsp. lactis (Meile et al. 1997) Masco et al. 2004|Bifidobacterium lactis|Bifidobacterium animalis subsp. lactis|b.animalis subsp. lactis|b. lactis
species:ncbi:431188	dendrobium candidum|d. candidum|Dendrobium candidum|dendrobium candidum Wall. ex Lindl.|D. candidum|D.candidum|Dendrobium candidum Wall. ex Lindl.|d.candidum
species:ncbi:53602	Carcinus mediterraneus|c.aestuarii|carcinus aestuarii|Carcinus aestuarii|C. aestuarii|C.aestuarii|C.mediterraneus|c.mediterraneus|carcinus mediterraneus|C. mediterraneus|c. aestuarii|c. mediterraneus
species:ncbi:453230	Desulfarculus baarsii|Desulfoarculus baarsii|desulfarculus barsii|Desulfovibrio baarsii Widdel 1981|desulfarculus baarsii|desulfoarculus baarsii|Desulfoarculus barsii|d. baarsii|Desulfovibrio baarsii|D.baarsii|d.baarsii|Desulfarculus baarsii (Widdel 1981) Kuever et al. 2006|desulfoarculus barsii|Desulfoarculus baarsi|D. baarsii|Desulfarculus barsii|desulfoarculus baarsi|desulfarculus baarsii (Widdel 1981) Kuever et al. 2006|desulfovibrio baarsii|desulfovibrio baarsii Widdel 1981
species:ncbi:53655	M. lambica|P.fermentans|P.sp. AWRI 1271|Candida fimetaria|m.lambica|P. sp. AWRI 1271|c.fimetaria|candida lambica|m. lambica|c. fimetaria|c. lambica|Pichia fermentans|pichia sp. AWRI 1271|Mycoderma lambica|Candida lambica|C. fimetaria|C.lambica|c.lambica|M.lambica|p.sp. AWRI 1271|C. lambica|mycoderma lambica|C.fimetaria|pichia fermentans|Pichia sp. AWRI 1271|candida fimetaria|p.fermentans|p. fermentans|p. sp. AWRI 1271|P. fermentans
species:ncbi:453298	Q. pyrenaica Willd.|q. pyrenaica Willd.|Q.pyrenaica Willd.|Quercus pyrenaica Willd.|quercus pyrenaica|quercus pyrenaica Willd.|q. pyrenaica|Q. pyrenaica|q.pyrenaica Willd.|Quercus pyrenaica|Q.pyrenaica|q.pyrenaica
species:ncbi:53643	S.amethionina|s.amethionina|pichia amethionina|P.amethionina|Pichia amethionina|p. amethionina|Starmera amethionina|s. amethionina|p.amethionina|P. amethionina|starmera amethionina|S. amethionina
species:ncbi:386629	omphisa fuscidentalis Hampson|o.fuscidentalis|Omphisa fuscidentalis Hampson|bamboo borers|omphisa fuscidentalis|O.fuscidentalis Hampson|Bamboo borer|o. fuscidentalis|O. fuscidentalis|o.fuscidentalis Hampson|Bamboo borers|Omphisa fuscidentalis|bamboo borer|o. fuscidentalis Hampson|O.fuscidentalis|O. fuscidentalis Hampson
